Crime_Type,Severity_Level,Date,Time,Day_of_Week,Month,Year,Time_Slot,City,State,Police_Station_Area,Age_Group_Mostly_Affected,Population_Density,Previous_Crimes_Area,Police_Station_Distance,Patrol_Intensity,Victim_Gender,city_norm,state_norm,expected_lat,expected_lon,dist_to_expected_km,matched_type,Latitude_fixed,Longitude_fixed
Robbery,High,19-05-2021,23:51,Saturday,10,2024,Morning,Ahmedabad,Gujarat,West,Young Adult (20-35),22321,81,16.79,Low,Male,ahmedabad,uttar pradesh,23.0225,72.5714,2196.921414,city_only,23.0225,72.5714
Vandalism,Medium,11-07-2023,03:04,Sunday,3,2024,Night,Jaipur,Rajasthan,South,Young Adult (20-35),16111,67,1.53,Medium,Other,jaipur,maharashtra,26.9124,75.7873,717.8619063,city_only,26.9124,75.7873
Assault,Medium,15-11-2024,04:55,Wednesday,12,2021,Morning,Delhi,Delhi,South,Adult (36-55),21249,43,11.53,High,Male,delhi,gujarat,28.6139,77.209,1862.174337,city_only,28.6139,77.209
Vandalism,Low,31-08-2021,08:58,Tuesday,1,2021,Night,Delhi,Delhi,Central,Adult (36-55),8016,51,18.27,Medium,Other,delhi,tamil nadu,28.6139,77.209,2002.2628,city_only,28.6139,77.209
Cybercrime,Low,30-05-2025,06:52,Wednesday,4,2021,Afternoon,Delhi,Delhi,North,Adult (36-55),10245,11,7.41,High,Female,delhi,karnataka,28.6139,77.209,1020.345137,city_only,28.6139,77.209
Murder,Critical,14-05-2023,03:08,Friday,5,2025,Morning,Delhi,Delhi,North,Young Adult (20-35),9600,25,1.92,Medium,Male,delhi,rajasthan,28.6139,77.209,1311.567816,city_only,28.6139,77.209
Murder,High,13-03-2022,07:30,Saturday,10,2024,Afternoon,Bangalore,Karnataka,West,Senior (56+),12052,81,5.38,Low,Other,bangalore,maharashtra,12.9716,77.5946,782.1724683,city_only,12.9716,77.5946
Vandalism,Critical,07-01-2024,01:34,Monday,2,2023,Evening,Bangalore,Karnataka,North,Young Adult (20-35),23662,89,19.17,Medium,Female,bangalore,rajasthan,12.9716,77.5946,1164.819144,city_only,12.9716,77.5946
Burglary,High,31-12-2024,05:23,Wednesday,3,2024,Afternoon,Delhi,Delhi,Central,Adult (36-55),22807,16,12.32,High,Female,delhi,gujarat,28.6139,77.209,1966.72923,city_only,28.6139,77.209
Domestic Violence,Medium,13-09-2025,22:45,Saturday,8,2025,Evening,Hyderabad,Telangana,North,Teen (13-19),11159,12,15.65,Medium,Female,hyderabad,telangana,17.385,78.4867,5.327968413,city_state,17.385,78.4867
Fraud,Low,27-08-2022,05:58,Thursday,8,2022,Afternoon,Pune,Maharashtra,East,Young Adult (20-35),29450,30,16.9,Medium,Other,pune,maharashtra,18.5204,73.8567,5.882684529,city_state,18.5204,73.8567
Vandalism,High,09-10-2023,08:46,Sunday,3,2025,Morning,Pune,Maharashtra,South,Young Adult (20-35),7076,37,6.85,Medium,Female,pune,karnataka,18.5204,73.8567,464.732494,city_only,18.5204,73.8567
Domestic Violence,Medium,02-05-2025,04:07,Thursday,12,2023,Evening,Delhi,Delhi,North,Young Adult (20-35),8000,4,5.73,High,Other,delhi,telangana,28.6139,77.209,1339.9341,city_only,28.6139,77.209
